name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,logistics n/a reason,codex variant id,breakProb,minPieces,maxPieces,travel drive,number
Jane,roider_jane,Tanker,Roider Union,roider_flareLauncher,8,3000,400,3500,2500,150,45,1,60,50,30,25,20,500,OMNI,,90,0.5,1.2,,,10,40,40,600,2,300,9,30000,5,15,360,0.25,5,5,,,120,300,,,"CARRIER, TANKER, SHIP_WITH_MODULES","roider, roider_retrofit, no_drop, merc",,,,0.75,3,4,,306
,roider_jane_armor,Prow Armor,Roider Union,,2,600,600,100,1667,100,0,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, module_refit_bright, roider_armor",,,,1,2,3,,306.1
Montauk,roider_montauk,Heavy Destroyer,Roider Union,fortressshield,12,5000,800,5000,3333,300,110,,70,45,25,30,25,480,OMNI,,180,0.4,0.8,,,55,80,80,90,3,30,9,50000,5,15,420,0.25,14,14,,,,,,,,"roider, roider_retrofit, no_drop, merc",,,,0.5,2,3,,307
Basker,roider_basker,Phase Destroyer,Roider Union,roider_transducer,11,4000,900,3000,3333,300,100,,90,50,40,40,35,450,PHASE,phasecloak,90,,,0.0666,0.04,13,35,156,60,2,30,9,48000,5,15,300,0.25,13,13,,,,,,,,"roider, roider_retrofit, no_drop, merc",,,,0.8,3,4,,308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambit,roider_gambit,Fast Cruiser,Roider Union,ammofeed,13,7000,1000,7000,7000,500,120,,80,50,40,20,15,1200,FRONT,,240,0.6,1,,,150,200,100,120,3,40,9,100000,4,12,480,0.25,18,18,,,,,,,SHIP_WITH_MODULES,"roider, roider_retrofit, no_drop, merc",,,,0.5,2,3,,400
Gambit (Early),roider_gambit_early,Fast Cruiser,Roider Union,ammofeed,13,7000,1000,7000,7000,500,120,,80,50,40,20,15,1200,FRONT,,240,0.6,1,,,150,200,100,120,3,40,9,100000,4,12,480,0.25,18,18,,,,,,,,"no_drop, merc",,,,0.5,2,3,,400
,roider_gambit_armor,Mantle,Roider Union,,2,1400,1500,100,2500,100,0,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, module_refit_bright, roider_armor",,,,1,2,3,,400.1
Gambit (P),roider_gambit_p,Fast Cruiser,Pirate,ammofeed,13,7000,1000,7000,7000,500,120,,80,50,40,20,15,1200,FRONT,,240,0.6,1,,,150,200,100,120,3,40,9,90000,4,12,480,0.25,16,16,,,,,,,SHIP_WITH_MODULES,"rare_bp, no_drop, merc",,,,0.5,2,3,,400
Gambit (P),roider_gambit_p_early,Fast Cruiser,Pirate,ammofeed,13,7000,1000,7000,7000,500,120,,80,50,40,20,15,1200,FRONT,,240,0.6,1,,,150,200,100,120,3,40,9,90000,4,12,480,0.25,16,16,,,,,,,HIDE_IN_CODEX,"no_drop, merc",,,,0.5,2,3,,400
,roider_gambit_p_armor,Mantle,Pirate,,2,1400,1500,100,2500,100,0,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, module_refit_bright, roider_armor",,,,1,2,3,,400.1
Ranch,roider_ranch,Carrier,Roider Union,roider_reservewing,15,12000,1200,8000,4000,300,120,4,40,25,10,15,12,1200,OMNI,,120,0.5,1,,,200,500,300,120,3,40,8,140000,4,12,420,0.25,25,25,,,,,,,"CARRIER, COMBAT, SHIP_WITH_MODULES","roider, roider_retrofit, rare_bp, merc",,,,0.6,2,3,,403
,roider_ranch_armor,Prow Armor,Roider Union,,2,2400,1800,100,2500,100,0,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, module_refit_bright, roider_armor",,,,1,2,3,,403.1
Ram Ranch,roider_ranch_damper,Carrier,Roider Union,microburn,15,12000,1200,8000,4000,300,120,4,40,25,10,15,12,1200,PHASE,damper,,,,,,200,500,300,120,3,40,8,140000,4,12,420,0.25,25,25,,,,,,,"CARRIER, COMBAT, SHIP_WITH_MODULES","roider_secret, no_drop, codex_unlockable",,,,0.6,2,3,,403
,roider_ranch_armor_damper,Prow Armor,Roider Union,,2,2400,1800,100,2500,100,0,,0,0,0,10,10,400,PHASE,roider_slaveDamper,,,,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, module_refit_bright, roider_armor",,,,1,2,3,,403.1
Wrecker,roider_wrecker,Cruiser,Roider Union,roider_phasenet,15,9000,1100,10000,10500,500,150,,60,30,20,15,20,1500,FRONT,,240,0.5,0.8,,,180,300,150,120,4,30,8,125000,3,12,480,0.25,24,24,,,,,,,SHIP_WITH_MODULES,"rare_bp, roider, roider_retrofit, no_drop, merc",,,,0.5,2,3,,404
,roider_wrecker_armor,Prow Armor,Roider Union,,2,1800,1650,100,2500,100,0,,0,0,0,10,10,600,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, module_refit_bright, roider_armor",,,,1,2,3,,404.1
Wrecker (P),roider_wrecker_p,Cruiser,Pirate,roider_phasenet,15,9000,1100,10000,10500,500,150,,60,30,20,15,20,1500,FRONT,,240,0.5,0.8,,,180,300,150,120,4,30,8,125000,3,12,480,0.25,24,24,,,,,,,SHIP_WITH_MODULES,"rare_bp, roider_retrofit, no_drop, merc",,,,0.5,2,3,,404
,roider_wrecker_p_armor,Prow Armor,Pirate,,2,1800,1650,100,2500,100,0,,0,0,0,10,10,600,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, module_refit_bright, roider_armor",,,,1,2,3,,404.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telamon,roider_telamon,Battleship,Roider Union,burndrive,28,16000,1250,16000,15000,800,340,2,35,15,14,6,6,3500,OMNI,,180,0.6,1,,,600,1250,350,500,15,33,7,350000,3,12,720,0.25,40,40,,,,,,,SHIP_WITH_MODULES,"rare_bp, roider, roider_retrofit, merc",,,,0.6,2,4,,500
,roider_telamon_front,Prow Armor,Roider Union,,8,2500,2000,100,2500,100,0,,0,0,0,10,10,1000,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, module_refit_bright, roider_armor",,,,1,2,3,,500.1
,roider_telamon_left,Port Sponson Armor,Roider Union,,5,1500,1800,100,2500,100,0,,0,0,0,10,10,600,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, module_refit_bright, roider_armor",,,,1,2,3,,500.2
,roider_telamon_right,Starboard Sponson Armor,Roider Union,,5,1500,1800,100,2500,100,0,,0,0,0,10,10,600,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, module_refit_bright, roider_armor",,,,1,2,3,,500.3
Argos,roider_argos,Mothership,Roider Union,roider_flareLauncher,20,18000,1500,12000,10000,400,200,3,30,15,10,4,4,4000,OMNI,,180,0.5,1,,,400,1200,1000,1800,6,300,7,250000,2,15,720,0.25,32,32,,,,,,,"CARRIER, COMBAT","rare_bp, roider, roider_retrofit, merc",,,,0.75,3,5,,501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,roider_frame_frigate,Frigate Frame Hull,Roider Union,flarelauncher,1,800,100,1000,,50,15,,110,80,50,45,60,150,NONE,,0,0,0,,,2,0,0,0,1,0,9,1000,5,20,180,0.25,2,2,,,,,,,CIVILIAN,"roider_bp, retroLib_frame, roider, retroLib_frame_roider",,,,0.5,2,2,,600
,roider_frame_destroyer,Destroyer Frame Hull,Roider Union,flarelauncher,3,2000,300,2000,,100,30,,50,40,25,25,20,600,NONE,,0,0,0,,,10,0,0,0,2,0,8,6000,5,20,360,0.25,4,4,,,,,,,CIVILIAN,"roider_bp, retroLib_frame, roider, retroLib_frame_roider",,,,0.5,2,3,,601
,roider_frame_cruiser,Cruiser Frame Hull,Roider Union,flarelauncher,5,5000,400,3000,,150,45,,35,25,10,15,12,1500,NONE,,0,0,0,,,30,0,0,0,4,0,7,12000,3,20,420,0.25,8,8,,,,,,,CIVILIAN,"roider_bp, retroLib_frame, roider, retroLib_frame_roider",,,,0.5,2,3,,602
,roider_frame_capital,Capital Frame Hull,Roider Union,flarelauncher,6,8000,500,4000,,200,50,,25,5,2,3,2,4000,NONE,,0,0,0,,,70,0,0,0,6,0,6,50000,2,20,720,0.25,10,10,,,,,,,CIVILIAN,"roider_bp, retroLib_frame, roider, retroLib_frame_roider",,,,0.7,2,4,,603
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimera,roider_station_drone,Hangar Drone,Roider Union,,,3000,400,1600,,400,50,1,150,400,300,60,90,200,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,no_dealer,Not available (drone),,,0.4,2,2,,5
,roider_station_drone_hidden,placeholder drone,,,,1,1,1,,1,1,,250,400,300,60,90,1,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",no_dealer,Not available (drone),,,0.4,2,2,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbital Station,roider_station_core1,Orbital Station,Roider Union,,400,160000,2400,1000,2500,100,0,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,,,,,,,"STATION, UNBOARDABLE",codex_unlockable,,,,0,,,,2004
Battlestation,roider_station_core2,Battlestation,Roider Union,roider_station_drones,400,160000,2400,1000,2500,100,0,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,,,,,,,"STATION, UNBOARDABLE",codex_unlockable,,,,0,,,,2004
Star Fortress,roider_station_core3,Star Fortress,Roider Union,roider_station_drones,400,160000,2400,1000,2500,100,0,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,,,,,,,"STATION, UNBOARDABLE",codex_unlockable,,,,0,,,,2004
,roider_station_citadel_small,Citadel,Roider Union,,1,15000,1800,25000,30000,1000,1000,,0,0,0,10,10,3500,FRONT,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,4,,2063
,roider_station_citadel_large1,Heavy Citadel,Roider Union,,1,20000,2000,30000,30000,1200,1000,2,0,0,0,10,10,3500,FRONT,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,4,,2063
,roider_station_citadel_large2,Heavy Citadel,Roider Union,mine_strike_station,1,20000,2000,30000,30000,1200,1000,2,0,0,0,10,10,3500,FRONT,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,4,,2063
,roider_station_bastion,Bastion,Roider Union,forgevats_station,1,7500,1250,7000,7500,300,1000,,0,0,0,10,10,240,FRONT,,170,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,1,2,2,,2065
,roider_station_hangar,Hangar Module,Roider Union,forgevats_station,1,10000,1500,10000,12500,500,1000,3,0,0,0,10,10,2500,FRONT,,130,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,4,,2064
,roider_station_spur,Station Structural Spur,Roider Union,,1,5000,1500,0,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,1,2,3,,2053
